名称,年份,上映时间,类型,时长,评分,语言,作者,导演,简介,标语
月黑高飛,(1994),1995/10/26 (HK),"剧情,犯罪",2h 22m,87,英語,史提芬·京,法蘭·達拉本特,1947 年，一位年輕的波特蘭銀行家安迪·杜佛蘭（添·羅賓斯飾）被指控殺死其妻子與其情夫，分別被判決兩個無期徒刑，進入緬因州的蕭申克監獄（蕭山克監獄）。另一方面，蕭申克監獄的交易商囚犯瑞德（摩根·費曼飾）在服刑了 20 年後申請假釋又被駁回，恰巧他也目睹了蕭申克監獄內新囚犯的到來，這其中也包括了安迪。新囚犯們得先與典獄長諾頓和獄警警備隊隊長海利會面，之後才會進入監獄服刑。在當晚，有一名囚犯因無法適應監獄的黑暗環境而哭喊，而後被隊長海利活活打死。,Fear can hold you prisoner. Hope can set you free.
教父,(1972),1980/01/24 (HK),"剧情,犯罪",2h 55m,87,英語,馬里奧·普佐,法蘭西斯·柯波拉,電影描述西西里的柯里安大家族於美國掘起，辛苦掙扎奮鬥成為黑幫教父，最後引起權力鬥爭，甚至家族地位動搖。殿堂級金像大導哥普拉將原本的通俗小說提昇至黑幫史詩式電影的層次，巧妙地將社會問題、家庭、權力、罪惡、榮譽、道德等命題融合一起。影片吸引力經久不衰，被譽為電影史上最偉大的美國電影之一。,An offer you can't refuse.
教父續集,(1974),1974/12/20 (US),"剧情,犯罪",3h 20m,86,英語,馬里奧·普佐,法蘭西斯·柯波拉,柯裏安家族幼子米高（阿爾柏仙奴飾）自繼承大權後，續漸將勢力滲入各正當企業及政治圈中，企圖將黑手黨化暗為明。,The rise and fall of the Corleone empire.
舒特拉的名單,(1993),1994/03/17 (HK),"剧情,历史,战争",3h 15m,86,英語,湯瑪斯·簡尼利,史提芬·史匹堡,電影情節於 1939 年德國發起的猶太大移民開始。那時二戰剛剛打響，克拉科夫周圍的波蘭猶太人被要求到克拉科夫集中。同時，來自摩拉維亞的奧斯卡·舒特拉以一個德國商人的身份，來到這個城市，以求發戰爭財。舒特拉是納粹黨黨員，經常對德意志國防軍和黨衞隊的官員大筆大筆地進行賄賂，以便獲得更多的採購權。舒特拉在軍方的贊助下開辦起軍用餐具廠。他自己並不太瞭解如何經營企業，但後來他遇到了合夥人伊薩克·斯特恩。此人是克拉科夫猶太委員會的官員，熟悉猶太人商人圈子，與該區的黑市有聯繫。猶太商人借給舒特拉辦廠的資金，但只要求獲得較小部分的回報分成。工廠開辦後，舒特拉負責去取悦納粹黨，獲得了「Herr Direktor」的頭銜，斯特恩則負責處理一切管理事務。舒特拉以可以少給工錢為由招聘猶太波蘭人而不要一般波蘭人（其實所謂的「工錢」工人們一分拿不到，全部都要上交給黨衞隊）。舒特拉工廠裏的工人可以走出猶太區。斯特恩費盡心思偽造文書，讓儘量多的人表面上看起來符合「對德國打仗有利」這一條件，獲得進入工廠的資格，免受殘害或被拉到集中營受苦。,"Whoever saves one life, saves the world entire."
十二怒漢,(1957),1957/04/10 (US),剧情,1h 37m,86,英語,西德尼·盧梅特,雷金納德·羅斯,本片所有場景幾乎都發生在一個小房間內，講述 11 名陪審團如何在另一名持反對意見的陪審團的説服下拋棄成見，以挽救一條性命。,It explodes like 12 sticks of dynamite!
¿Quieres ser mi hijo?,(2023),2023/09/21 (US),"喜剧,爱情",1h 40m,86,-,,Ihtzi Hurtado,"Lu, a conformist woman in her forties, learns that her 15-year partner has been having extramarital affairs. Starting from scratch, she gets involved in an unexpected relationship with a young womanizer.",概覽
Selena Gomez：聽聽，最真的我,(2022),2022/11/04 (HK),"纪录,音乐",1h 35m,85,英語,Paul Marchand,阿萊克·凱西西恩,受公眾關注多年，Selena Gomez大紅大紫，但正當她要再創高峰時，一個意外轉折把她拉進人生低谷。這部紀錄片獨特、真實和私密，以全新角度剖析她這六年來的心路歷程。,把握時時刻刻，衝破人生幽谷。
千與千尋,(2001),2001/12/13 (HK),"动画,家庭,奇幻",2h 5m,85,日語,,宮崎駿,某一天，年僅 10 歲的荻野千尋跟著父母坐在車上，準備一同前往要搬入的新家。在路途當中，千尋的父親因開錯方向，來到一條有著隧道入口的小徑。千尋的父母在一時好奇心下，帶著她前往隧道裏頭一探究竟。,Beyond the tunnel was a mysterious town.
蝙蝠俠—黑夜之神,(2008),2008/07/17 (HK),"动作,犯罪,惊悚",2h 32m,85,英語,鮑勃·凱恩,基斯杜化·路蘭,在警長佔哥頓和新檢察官哈菲丹特的幫助下，蝙蝠俠主動出擊，搗破葛鹹城中的邪惡勢力。這個伸張正義的鐵三角組合本來非常成功，但他們將要面對的強勁對手，是一位自稱為「小醜」的可怕狂徒。,俠影出洞 迎戰無法無天
漂洋過海愛上你,(1995),1995/10/20 (IN),"喜剧,剧情,爱情",3h 10m,85,印地語,,Aditya Chopra,當拉傑（沙魯克罕飾）與希姆蘭（卡約兒飾）首次在歐洲的鐵路假日行相遇時，並未徹底一見鍾情。但是當希姆蘭被帶回印度奉命結婚，事情有所改變。在父親達拉姆維爾（亞努潘卡爾飾）的鼓勵下，拉傑決定從倫敦飛過去。他不僅要擄獲新娘和她的全家人的心，還要獲得她父親巴爾德夫辛格（亞姆列殊普利飾）的祝福。,"Come… Fall In love, All Over Again…"
